행정동,latest_period,avg_land_price,land_price_growth_rate,transaction_count,transaction_growth_rate,real_estate_pressure_index_100,real_estate_pressure_level,real_estate_cluster_name
태평1동,2025,4832634.301270418,3.1259526039464767,11.5,17.94871794871795,26.41843585476176,중상,상승-거래정체형
태평2동,2025,4832634.301270418,3.1259526039464767,11.5,17.94871794871795,26.41843585476176,중상,상승-거래정체형
운중동,2025,3731710.655737705,3.21886806483851,374.0,7.163323782234957,26.415541598253007,중상,상승-거래정체형
수내3동,2025,8576315.151515152,3.1080752540435004,31.666666666666668,17.283950617283956,26.186296883095782,중상,상승-거래정체형
수내1동,2025,8576315.151515152,3.1080752540435004,31.666666666666668,17.283950617283956,26.186296883095782,중하,상승-거래정체형
수내2동,2025,8576315.151515152,3.1080752540435004,31.666666666666668,17.283950617283956,26.186296883095782,중하,상승-거래정체형
하대원동,2025,3721819.760479042,3.0864199578461875,16.0,0.0,24.505601106274522,중하,상승-거래정체형
구미동,2025,6501921.818181818,3.3265653970742477,47.5,-33.098591549295776,24.0545334817396,중하,상승-거래정체형
도촌동,2025,3686912.328767123,3.3617534253309134,50.0,-63.76811594202898,21.79563295448314,중하,상승-거래정체형
정자3동,2025,7972175.0,2.755529811942379,32.0,-21.951219512195124,19.389655828833746,중하,상승-거래정체형
정자동,2025,7972175.0,2.755529811942379,32.0,-21.951219512195124,19.389655828833746,중하,상승-거래정체형
정자2동,2025,7972175.0,2.755529811942379,32.0,-21.951219512195124,19.389655828833746,중하,상승-거래정체형
정자1동,2025,7972175.0,2.755529811942379,32.0,-21.951219512195124,19.389655828833746,중하,상승-거래정체형
상대원3동,2025,4094302.729528536,2.5845460921506747,35.333333333333336,-13.114754098360645,18.459850590221144,중하,상승-거래정체형
상대원1동,2025,4094302.729528536,2.5845460921506747,35.333333333333336,-13.114754098360645,18.459850590221144,중하,상승-거래정체형
상대원2동,2025,4094302.729528536,2.5845460921506747,35.333333333333336,-13.114754098360645,18.459850590221144,중하,상승-거래정체형
금광1동,2025,5205786.229508197,2.6719881224279707,11.5,-46.51162790697674,16.48282534743077,중하,상승-거래정체형
금광2동,2025,5205786.229508197,2.6719881224279707,11.5,-46.51162790697674,16.48282534743077,중하,상승-거래정체형
야탑1동,2025,5726636.160714285,2.8507422047519393,22.5,-75.40983606557377,15.78519066569561,하,상승-거래정체형
야탑2동,2025,5726636.160714285,2.8507422047519393,22.5,-75.40983606557377,15.78519066569561,하,상승-거래정체형
야탑3동,2025,5726636.160714285,2.8507422047519393,22.5,-75.40983606557377,15.78519066569561,하,상승-거래정체형
고등동,2025,3083883.9285714286,1.0315063901846717,44.0,25.71428571428571,6.495705340210517,하,하락-거래위축형
